frame_id,block_id,row,col,importance,motion,initial_mode,final_mode,rule_applied,downgraded_by_budget,final_latency_ms
15,r2c1,2,1,0.63,0.54,balanced,balanced,medium_block_use_balanced,False,115.0
15,r2c2,2,2,0.92,0.84,accurate,accurate,important_block_use_accurate,False,115.0
16,r0c0,0,0,0.38,0.21,fast,fast,low_block_use_fast,False,121.0
16,r0c1,0,1,0.63,0.6,balanced,balanced,medium_block_use_balanced,False,121.0
16,r0c2,0,2,0.86,0.84,accurate,accurate,important_block_use_accurate,False,121.0
16,r1c0,1,0,0.2,0.13,fast,fast,low_block_use_fast,False,121.0
16,r1c1,1,1,0.31,0.29,fast,fast,low_block_use_fast,False,121.0
16,r1c2,1,2,0.67,0.6,balanced,balanced,medium_block_use_balanced,False,121.0
16,r2c0,2,0,0.15,0.29,skip,skip,unimportant_block_skip,False,121.0
16,r2c1,2,1,0.21,0.1,fast,fast,low_block_use_fast,False,121.0
16,r2c2,2,2,0.28,0.32,fast,fast,low_block_use_fast,False,121.0
17,r0c0,0,0,0.08,0.18,skip,skip,unimportant_block_skip,False,96.0
17,r0c1,0,1,0.38,0.35,fast,fast,low_block_use_fast,False,96.0
17,r0c2,0,2,0.58,0.52,balanced,balanced,medium_block_use_balanced,False,96.0
17,r1c0,1,0,0.39,0.32,fast,fast,low_block_use_fast,False,96.0
17,r1c1,1,1,0.76,0.44,balanced,balanced,medium_block_use_balanced,False,96.0
17,r1c2,1,2,0.77,0.65,balanced,balanced,medium_block_use_balanced,False,96.0
17,r2c0,2,0,0.07,0.06,skip,skip,unimportant_block_skip,False,96.0
17,r2c1,2,1,0.33,0.18,fast,fast,low_block_use_fast,False,96.0
17,r2c2,2,2,0.67,0.55,balanced,balanced,medium_block_use_balanced,False,96.0
18,r0c0,0,0,0.18,0.04,skip,skip,unimportant_block_skip,False,133.0
18,r0c1,0,1,0.38,0.36,fast,fast,low_block_use_fast,False,133.0
18,r0c2,0,2,0.09,0.17,skip,skip,unimportant_block_skip,False,133.0
18,r1c0,1,0,0.47,0.27,fast,fast,low_block_use_fast,False,133.0
18,r1c1,1,1,0.59,0.46,balanced,balanced,medium_block_use_balanced,False,133.0
18,r1c2,1,2,0.51,0.42,balanced,balanced,medium_block_use_balanced,False,133.0
18,r2c0,2,0,0.62,0.45,balanced,balanced,medium_block_use_balanced,False,133.0
18,r2c1,2,1,0.78,0.79,accurate,accurate,motion_hotspot_use_accurate,False,133.0
18,r2c2,2,2,0.54,0.52,balanced,balanced,medium_block_use_balanced,False,133.0
19,r0c0,0,0,0.97,0.55,accurate,accurate,important_block_use_accurate,False,113.0
19,r0c1,0,1,0.55,0.52,balanced,balanced,medium_block_use_balanced,False,113.0
19,r0c2,0,2,0.42,0.24,fast,fast,low_block_use_fast,False,113.0
19,r1c0,1,0,0.59,0.44,balanced,balanced,medium_block_use_balanced,False,113.0
