frame_id,block_id,row,col,importance,motion,edge,selected_mode,rule_applied,x1,y1,x2,y2
25,r0c2,0,2,0.0675,0.2251,0.0,skip,default_skip,2560,0,3840,720
25,r1c0,1,0,0.732,0.7429,0.7273,detect,high_importance_detect,0,720,1280,1440
25,r1c1,1,1,0.868,0.6953,0.942,detect,high_importance_detect,1280,720,2560,1440
25,r1c2,1,2,0.4406,0.7773,0.2963,detect,motion_region_detect,2560,720,3840,1440
25,r2c0,2,0,0.0468,0.0,0.0668,skip,default_skip,0,1440,1280,2160
25,r2c1,2,1,0.5617,0.2248,0.7061,detect,high_importance_detect,1280,1440,2560,2160
25,r2c2,2,2,0.1496,0.0231,0.2038,skip,default_skip,2560,1440,3840,2160
26,r0c0,0,0,0.1441,0.2208,0.1112,skip,default_skip,0,0,1280,720
26,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
26,r0c2,0,2,0.0957,0.3191,0.0,skip,default_skip,2560,0,3840,720
26,r1c0,1,0,0.717,0.7234,0.7142,detect,high_importance_detect,0,720,1280,1440
26,r1c1,1,1,0.8784,0.7186,0.9469,detect,high_importance_detect,1280,720,2560,1440
26,r1c2,1,2,0.4545,0.8,0.3064,detect,motion_region_detect,2560,720,3840,1440
26,r2c0,2,0,0.0265,0.0,0.0379,skip,default_skip,0,1440,1280,2160
26,r2c1,2,1,0.4915,0.2296,0.6037,skip,default_skip,1280,1440,2560,2160
26,r2c2,2,2,0.0926,0.0274,0.1206,skip,default_skip,2560,1440,3840,2160
27,r0c0,0,0,0.1457,0.2245,0.1119,skip,default_skip,0,0,1280,720
27,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
27,r0c2,0,2,0.067,0.2232,0.0,skip,default_skip,2560,0,3840,720
27,r1c0,1,0,0.7272,0.7373,0.7228,detect,high_importance_detect,0,720,1280,1440
27,r1c1,1,1,0.8888,0.7335,0.9553,detect,high_importance_detect,1280,720,2560,1440
27,r1c2,1,2,0.4179,0.6858,0.303,detect,motion_region_detect,2560,720,3840,1440
27,r2c0,2,0,0.0306,0.0,0.0437,skip,default_skip,0,1440,1280,2160
27,r2c1,2,1,0.5025,0.2069,0.6292,skip,default_skip,1280,1440,2560,2160
27,r2c2,2,2,0.1016,0.0088,0.1414,skip,default_skip,2560,1440,3840,2160
28,r0c0,0,0,0.1579,0.2384,0.1235,skip,default_skip,0,0,1280,720
28,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
28,r0c2,0,2,0.065,0.2167,0.0,skip,default_skip,2560,0,3840,720
